,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
14,the-open-network,ton,Toncoin,https://assets.coingecko.com/coins/images/17980/large/ton_symbol.png?1670498136,5.278e-05,181525,15,268794.0,957.096,5.305e-05,5.127e-05,1.25e-06,2.4271,4898.0,2.77293,3439041729.64886,5092372650.97303,,0.00016834,-68.64481,2022-12-18T14:10:00.817Z,1.015e-05,420.22692,2021-10-19T11:57:44.931Z,,2023-08-22T14:48:41.194Z,,,
15,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,3.02103e-10,178608,16,303064.0,6504.0,3.10489e-10,3.00586e-10,-8.286786e-12,-2.6698,-4321.029481436271,-2.36213,589332665011841.2,999985145143913.0,,1.464e-09,-79.32532,2021-10-28T03:54:55.568Z,2.426e-15,12476225.46177,2020-12-27T06:56:29.823Z,,2023-08-22T14:48:45.743Z,,,
16,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,1.001373,162597,17,162597.0,1838.0,1.00388,0.99995479,-0.000848253333158189,-0.08464,-86.78201355680358,-0.05334,162305.25767567,162305.25767567,162305.25767567,1.65168,-39.34676,2019-03-21T07:51:40.909Z,0.757686,32.21802,2019-04-02T00:00:00.000Z,,2023-08-22T14:48:40.029Z,,,
17,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1687143508,3.847e-05,152156,18,152180.0,4255.0,3.862e-05,3.817e-05,1.74281e-07,0.45514,262.394,0.17275,3956027505.42246,3956650768.25073,,0.00026128,-85.27974,2020-03-13T02:04:08.019Z,1.457e-05,163.89545,2021-11-10T17:47:28.742Z,,2023-08-22T14:45:00.782Z,,,
18,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,0.00713321,139213,19,150053.0,4743.0,0.00718289,0.00707005,-3.6319634055496e-05,-0.50658,-625.9932400950638,-0.44765,19482999.8966508,21000000.0,21000000.0,0.28458493,-97.4892,2017-08-02T00:00:00.000Z,0.00366482,94.97196,2023-06-10T04:31:00.559Z,,2023-08-22T14:48:39.442Z,,,
19,leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,0.00014644,136480,20,144657.0,12.237391,0.00014712,0.00014251,2.34e-06,1.62487,2163.0,1.61053,929541123.9,985239504.0,,0.00031851,-53.93511,2022-07-01T05:24:30.327Z,2.788e-05,426.19935,2021-02-19T15:44:41.165Z,,2023-08-22T14:48:37.297Z,,,
20,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1687143398,0.00017965,135676,21,179998.0,3859.0,0.00018552,0.00017988,-5.751300341224e-06,-3.102,-4062.9551671870868,-2.90753,753766667.0,1000000000.0,1000000000.0,0.00084274,-78.65329,2021-05-15T05:19:47.773Z,9.352e-05,92.35272,2020-09-17T01:20:38.214Z,,2023-08-22T14:48:39.857Z,,,
21,avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1670992574,0.00038873,133991,22,280387.0,4215.0,0.0004025,0.00038894,-1.3602551465846e-05,-3.38096,-4476.244824438443,-3.2327,344073247.980046,430792733.804983,720000000.0,0.00258643,-84.96402,2021-12-22T02:20:07.678Z,9.735e-05,299.48896,2020-12-31T21:37:36.652Z,,2023-08-22T14:48:40.276Z,,,
22,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,0.0002362,127340,23,236647.0,6703.0,0.00023934,0.00023443,-1.267435065922e-06,-0.53372,-399.32795090989384,-0.31261,538099971.2305644,1000000000.0,1000000000.0,0.00167225,-85.84794,2020-08-16T08:03:52.426Z,1.335e-05,1672.71222,2017-12-12T00:00:00.000Z,,2023-08-22T14:48:43.155Z,,,
23,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,4.62e-06,126697,24,231287.0,2960.0,4.8e-06,4.63e-06,-1.80062025083e-07,-3.75214,-4813.395778213468,-3.66008,27390634510.5579,50001787237.4735,50001787237.4735,5.698e-05,-91.87836,2018-01-26T00:00:00.000Z,1.36e-06,239.42489,2017-03-05T00:00:00.000Z,,2023-08-22T14:48:36.477Z,,,
24,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,3.847e-05,123666,25,123666.0,81622.0,3.856e-05,3.818e-05,1.31043e-07,0.3418,241.969,0.19605,3215132707.97,3215132707.97,,0.00026347,-85.40466,2020-03-13T02:24:14.132Z,1.457e-05,163.85147,2021-11-10T17:45:45.602Z,,2023-08-22T14:48:39.712Z,,,
25,true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1618395665,3.845e-05,105913,26,105913.0,9977.0,3.857e-05,3.817e-05,1.49179e-07,0.3895,12.132296,0.01146,2754461423.8,2754461423.8,,0.0003183,-87.91985,2018-12-15T15:59:59.065Z,1.457e-05,163.88954,2021-11-10T17:50:59.897Z,,2023-08-22T14:48:35.912Z,,,
26,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,0.00568175,103268,27,,2631.0,0.00574289,0.00559553,6.056e-05,1.07736,1033.0,1.01056,18147820.3764146,,,0.03475393,-83.62813,2018-01-09T00:00:00.000Z,0.00101492,460.62241,2014-12-18T00:00:00.000Z,,2023-08-22T14:48:45.354Z,,,
27,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1642471050,0.00164736,98902,28,494510.0,63.643,0.00166314,0.00164735,-5.017708521828e-06,-0.30367,-263.9466921976127,-0.26617,60000000.0,235957685.3,300000000.0,0.00238095,-30.76862,2023-02-18T01:26:33.647Z,0.00013427,1127.64766,2021-02-09T00:52:03.542Z,,2023-08-22T14:48:36.818Z,,,
28,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,0.00059319,84640,29,125027.0,2919.0,0.00060927,0.00059263,-8.16696504379e-06,-1.35809,-1057.5479020295024,-1.23404,142638692.11599,210700000.0,210700000.0,0.00894331,-93.36622,2017-06-17T00:00:00.000Z,0.00016454,260.57327,2021-01-08T18:21:57.068Z,,2023-08-22T14:48:42.629Z,33.27955968658491,usd,3327.955968658491
29,cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,0.00028233,82725,30,,3593.0,0.00029129,0.00028257,-8.540519177967e-06,-2.9362,-2451.1135137089877,-2.87769,292586163.827428,,,0.00165424,-82.90991,2019-03-15T00:00:00.000Z,0.0001429,97.84327,2021-01-08T16:59:22.387Z,,2023-08-22T14:48:36.294Z,72.41951157347117,usd,7241.951157347117
30,hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,2.32e-06,76878,31,116539.0,2954.0,2.44e-06,2.33e-06,-1.14534463474e-07,-4.70064,-3854.306672385428,-4.7742,32983824902.3696,50000000000.0,50000000000.0,3.199e-05,-92.71406,2019-09-17T09:03:31.347Z,9.26031e-07,151.69486,2021-01-03T07:55:19.551Z,,2023-08-22T14:48:41.012Z,,,
31,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,0.00013274,58747,32,62409.0,657.59,0.00013522,0.00013268,-2.392028288177e-06,-1.77016,-953.347739059107,-1.59688,441680036.383931,503978144.254006,469213710.0,0.01208251,-98.90032,2021-05-10T16:05:53.653Z,0.00012522,6.11153,2023-08-16T21:15:14.135Z,,2023-08-22T14:48:44.158Z,,,
32,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,0.0001302,57733,33,255641.0,3090.0,0.00013319,0.00012989,-2.91474095981e-06,-2.18968,-1217.1774788129333,-2.06475,442974363.0,1961479040.0,1961479040.0,0.01848777,-99.29574,2020-10-15T09:43:23.730Z,0.00011417,14.04416,2023-06-10T04:31:48.478Z,,2023-08-22T14:48:44.640Z,,,
33,quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1612437252,0.00383965,55826,34,56088.0,415.229,0.00385793,0.00378592,1.256e-05,0.32815,109.481,0.1965,14544176.164091088,14612493.0,14612493.0,0.01166603,-67.10358,2022-10-17T06:59:34.862Z,3.281e-05,11598.34166,2018-08-25T00:00:00.000Z,,2023-08-22T14:48:38.344Z,24.91999745429655,eth,2491.999745429655
34,lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1609873644,6.235e-05,54828,35,62362.0,1628.0,6.331e-05,6.151e-05,-9.51497071868e-07,-1.5032,-769.8152295669934,-1.3846,879191244.889292,1000000000.0,1000000000.0,0.0001559,-60.01112,2021-08-20T08:35:20.158Z,9.21e-06,576.92014,2021-03-27T09:10:29.155Z,,2023-08-22T14:48:40.035Z,,,
35,mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1689320029,1.627e-05,52673,36,101286.0,218.54,1.636e-05,1.619e-05,-1.1741755576e-08,-0.07212,-33.8886952625835,-0.0643,3234287324.76314,6219316794.99,6219316794.99,2.019e-05,-19.38689,2023-07-20T19:52:51.943Z,1.512e-05,7.63645,2023-08-08T23:34:42.573Z,,2023-08-22T14:48:34.478Z,,,
36,crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1669699773,2e-06,52516,37,60070.0,159.563,2.01e-06,1.98e-06,6.114e-09,0.30618,52.159,0.09942,26227442406.0773,30000000000.0,,3.155e-05,-93.65233,2019-03-15T13:19:44.119Z,1.49e-06,34.28674,2021-02-09T15:47:20.811Z,,2023-08-22T14:48:42.279Z,,,
37,aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1666839629,0.00022372,50799,38,235632.0,2536.0,0.00022926,0.00022406,-4.111218174865e-06,-1.80453,-714.2411360781844,-1.38652,226624294.90269,1051203777.37392,,0.00085901,-73.91728,2023-01-26T14:25:17.390Z,0.00018535,20.87901,2022-12-29T21:35:14.796Z,,2023-08-22T14:48:39.406Z,,,
38,arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1680097630,3.771e-05,48167,39,377781.0,5140.0,3.875e-05,3.774e-05,-9.8928574826e-07,-2.55603,-1017.2639852411958,-2.06827,1275000000.0,10000000000.0,10000000000.0,0.00031331,-87.95659,2023-03-23T13:10:03.106Z,3.501e-05,7.78285,2023-06-24T16:05:26.116Z,,2023-08-22T14:48:45.638Z,,,
39,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1680067517,6.0812e-07,44212,40,52723.0,998.36,6.17908e-07,6.07443e-07,-7.293393694e-09,-1.18512,-586.958822576802,-1.31021,72714516834.0,85985041177.0,86712634466.0,4.95e-06,-87.70527,2021-04-19T01:08:21.675Z,3.54562e-07,71.5,2019-09-15T00:00:00.000Z,,2023-08-22T14:48:44.488Z,2.3414269391053435,eth,234.14269391053435
40,optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1660904599,5.966e-05,42678,41,255755.0,4348.0,6.051e-05,5.818e-05,7.17886e-07,1.21791,499.538,1.18433,716708907.0,4294967296.0,4294967296.0,0.00013894,-57.07923,2023-02-24T20:20:00.509Z,2.06e-05,189.55842,2022-06-13T07:44:22.126Z,,2023-08-22T14:48:45.758Z,,,
41,near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1683515160,4.335e-05,40853,42,43384.0,1865.0,4.403e-05,4.295e-05,-6.37802682498e-07,-1.44992,-588.04356778488,-1.41898,941671517.686093,1000000000.0,,0.00047394,-90.85382,2022-01-16T22:09:45.873Z,3.543e-05,22.34287,2021-01-08T12:23:39.155Z,,2023-08-22T14:48:40.904Z,,,
42,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,0.04233941,38211,43,42632.0,2694.0,0.04282459,0.04092782,0.00031196,0.74227,304.279,0.8027,901310.9472893132,977631.036950888,1005577.0,0.18535638,-77.12227,2019-02-24T08:33:35.124Z,0.01828974,131.85303,2021-01-02T19:03:34.065Z,,2023-08-22T14:48:38.705Z,,,
