,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
69,gatechain-token,gt,Gate,https://assets.coingecko.com/coins/images/8183/large/gate.png?1687143308,3.88,531736671,70,1161271159.0,200130.0,3.92,3.87,-0.01949095367907283,-0.49993,-4419749.309580326,-0.82434,137367573.56752193,300000000.0,,12.94,-70.01762,2021-05-12T11:39:16.531Z,0.25754,1406.6688,2020-03-13T02:18:02.481Z,,2023-08-22T15:35:08.806Z,,,
70,render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1638840934,1.38,513063604,71,732570674.0,12169304.0,1.41,1.34,0.030348,2.24627,11875228.0,2.36941,371908453.108796,531024271.388796,531024271.388796,8.78,-84.29224,2021-11-21T10:03:19.097Z,0.03665669,3663.60665,2020-06-16T13:22:25.900Z,,2023-08-22T15:35:16.844Z,,,
71,paxos-standard,usdp,Pax Dollar,https://assets.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1629877204,0.999634,508569081,72,508569081.0,1123526.0,1.003,0.99835,0.0009505,0.09518,2163854.0,0.4273,507700446.010683,507700446.010683,,1.13,-11.13871,2018-10-15T07:09:12.459Z,0.863529,16.04316,2021-05-19T13:14:42.046Z,,2023-08-22T15:35:19.624Z,-0.0003662788889166,usd,-0.03662788889166
72,rollbit-coin,rlb,Rollbit Coin,https://assets.coingecko.com/coins/images/24552/large/unziL6wO_400x400.jpg?1648134494,0.150596,496416462,73,752841593.0,7454015.0,0.164355,0.145932,-0.007422943335895383,-4.6975,-27958473.089648724,-5.33177,3296951621.59,3296951622.0,5000000000.0,0.213089,-31.49307,2023-08-12T14:31:00.633Z,0.00093506,15511.95066,2022-07-02T02:46:34.730Z,,2023-08-22T15:35:24.362Z,,,
73,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1671179394,1.64,492323833,74,818628059.0,148954354.0,1.78,1.62,-0.003757646798125736,-0.22879,-773582.6243206859,-0.15688,300700561.0,500000000.0,500000000.0,20.87,-92.14388,2021-05-19T00:30:09.436Z,0.00851264,19158.2096,2019-09-28T00:00:00.000Z,,2023-08-22T15:35:09.416Z,42.12218155958984,usd,4212.218155958984
74,kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1663638871,0.690463,490635958,76,490583632.0,10364364.0,0.707405,0.680206,-0.002669698751221472,-0.38516,-7736194.377021551,-1.55229,711769117.0,711693208.0,,9.12,-92.48202,2021-08-30T11:10:02.948Z,0.287137,138.79134,2020-03-13T02:24:16.835Z,,2023-08-22T15:35:19.790Z,,,
75,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,6.95,490001659,75,694742179.0,14572589.0,7.13,6.93,-0.08344105822421799,-1.1865,-5049724.833251417,-1.02004,70530000.0,100000000.0,,198.38,-96.502,2018-01-15T00:00:00.000Z,0.078349,8756.96679,2016-10-21T00:00:00.000Z,,2023-08-22T15:35:19.094Z,192.03040534106142,usd,19203.04053410614
76,gala,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.01916722,489446704,77,958309554.0,416795736.0,0.01955036,0.01901679,-8.5710123348088e-05,-0.44518,622126.0,0.12727,25536983439.1697,25536855756.0299,50000000000.0,0.824837,-97.68184,2021-11-26T01:03:48.731Z,0.00013475,14090.05549,2020-12-28T08:46:48.367Z,,2023-08-22T15:35:23.426Z,,,
77,rocket-pool,rpl,Rocket Pool,https://assets.coingecko.com/coins/images/2090/large/rocket_pool_%28RPL%29.png?1637662441,24.15,473821962,78,473821962.0,2925760.0,25.01,24.08,-0.2942582595539527,-1.20385,-6860308.771523654,-1.4272,19620795.3927166,19620795.3927166,,61.9,-61.00068,2023-04-16T19:20:19.534Z,0.00884718,272752.74397,2018-08-28T00:00:00.000Z,,2023-08-22T15:35:21.178Z,,,
78,pax-gold,paxg,PAX Gold,https://assets.coingecko.com/coins/images/9519/large/paxgold.png?1687143101,1888.68,470610814,79,470610814.0,7003862.0,1894.15,1870.98,15.53,0.8291,4193729.0,0.89914,249149.609,249149.609,,2241.37,-15.71733,2021-05-17T19:02:29.657Z,1399.64,34.96926,2019-11-18T03:09:35.959Z,,2023-08-22T15:35:19.216Z,,,
79,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth.png?1687143191,33.28,468677099,80,468677099.0,4941.88,33.62,33.26,-0.04669720234758046,-0.14012,-3516622.2850607634,-0.74474,14083186.6242811,14083186.6242811,,97.75,-65.95498,2021-11-21T12:39:57.508Z,1.89,1664.26882,2020-03-13T02:22:33.711Z,,2023-08-22T15:07:04.600Z,,,
80,kucoin-shares,kcs,KuCoin,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1610678720,4.84,468159278,81,698045344.0,545939.0,4.89,4.83,-0.01212716253276902,-0.24984,-573093.3231722116,-0.12226,96732986.425851,144232986.425767,,28.83,-83.16132,2021-12-01T15:09:35.541Z,0.342863,1315.89254,2019-02-07T00:00:00.000Z,,2023-08-22T15:34:45.850Z,,,
81,tether-gold,xaut,Tether Gold,https://assets.coingecko.com/coins/images/10481/large/Tether_Gold.png?1668148656,1897.56,467578654,82,467578654.0,4889978.0,1927.24,1888.36,6.97,0.36877,1244981.0,0.26697,246524.33,246524.33,,2169.74,-12.5258,2023-03-15T20:36:21.941Z,1447.84,31.08919,2020-03-19T13:45:41.821Z,,2023-08-22T15:35:19.362Z,,,
